Rivet 3.1.1 running on machine mgiacalo-simple (x86_64) at 2022-04-07 15:52:00
Reading events from '/tmp/p6def.fifo'
Event 20800 (0:01:21 elapsed)
Event 20900 (0:01:22 elapsed)
Event 21000 (0:01:22 elapsed)
Event 21100 (0:01:23 elapsed)
Event 21200 (0:01:23 elapsed)
Event 21300 (0:01:23 elapsed)
Event 21400 (0:01:24 elapsed)
Event 21500 (0:01:24 elapsed)
Event 21600 (0:01:25 elapsed)
Event 21700 (0:01:25 elapsed)
Event 21800 (0:01:25 elapsed)
Event 21900 (0:01:26 elapsed)
Event 22000 (0:01:26 elapsed)
Event 22100 (0:01:27 elapsed)
Event 22200 (0:01:27 elapsed)
Event 22300 (0:01:27 elapsed)
Event 22400 (0:01:28 elapsed)
Event 22500 (0:01:28 elapsed)
Event 22600 (0:01:29 elapsed)
Event 22700 (0:01:29 elapsed)
Event 22800 (0:01:29 elapsed)
Event 22900 (0:01:30 elapsed)
Event 23000 (0:01:30 elapsed)
Event 23100 (0:01:31 elapsed)
Event 23200 (0:01:31 elapsed)
Event 23300 (0:01:31 elapsed)
Event 23400 (0:01:32 elapsed)
Event 23500 (0:01:32 elapsed)
Event 23600 (0:01:33 elapsed)
Event 23700 (0:01:33 elapsed)
Event 23800 (0:01:33 elapsed)
Event 23900 (0:01:34 elapsed)
Event 24000 (0:01:34 elapsed)
Event 24100 (0:01:35 elapsed)
Event 24200 (0:01:35 elapsed)
Event 24300 (0:01:35 elapsed)
Event 24400 (0:01:36 elapsed)
Event 24500 (0:01:36 elapsed)
Event 24600 (0:01:37 elapsed)
Event 24700 (0:01:37 elapsed)
Event 24800 (0:01:37 elapsed)
Event 24900 (0:01:38 elapsed)
Event 25000 (0:01:38 elapsed)
Event 25100 (0:01:39 elapsed)
Event 25200 (0:01:39 elapsed)
Event 25300 (0:01:39 elapsed)
Event 25400 (0:01:40 elapsed)
Event 25500 (0:01:40 elapsed)
Event 25600 (0:01:40 elapsed)
Event 25700 (0:01:41 elapsed)
Event 25800 (0:01:41 elapsed)
Event 25900 (0:01:42 elapsed)
Event 26000 (0:01:42 elapsed)
Event 26100 (0:01:42 elapsed)
Event 26200 (0:01:43 elapsed)
Event 26300 (0:01:43 elapsed)
Event 26400 (0:01:44 elapsed)
Event 26500 (0:01:44 elapsed)
Event 26600 (0:01:44 elapsed)
Event 26700 (0:01:45 elapsed)
Event 26800 (0:01:45 elapsed)
Event 26900 (0:01:46 elapsed)
Event 27000 (0:01:46 elapsed)
Event 27100 (0:01:46 elapsed)
Event 27200 (0:01:47 elapsed)
Event 27300 (0:01:47 elapsed)
Event 27400 (0:01:47 elapsed)
Event 27500 (0:01:48 elapsed)
Event 27600 (0:01:48 elapsed)
Event 27700 (0:01:49 elapsed)
Event 27800 (0:01:49 elapsed)
Event 27900 (0:01:49 elapsed)
Event 28000 (0:01:50 elapsed)
Event 28100 (0:01:50 elapsed)
Event 28200 (0:01:50 elapsed)
Event 28300 (0:01:51 elapsed)
Event 28400 (0:01:51 elapsed)
Event 28500 (0:01:52 elapsed)
Event 28600 (0:01:52 elapsed)
Event 28700 (0:01:52 elapsed)
Event 28800 (0:01:53 elapsed)
Event 28900 (0:01:53 elapsed)
Event 29000 (0:01:54 elapsed)
Event 29100 (0:01:54 elapsed)
Event 29200 (0:01:54 elapsed)
Event 29300 (0:01:55 elapsed)
Event 29400 (0:01:55 elapsed)
Event 29500 (0:01:55 elapsed)
Event 29600 (0:01:56 elapsed)
Event 29700 (0:01:56 elapsed)
Event 29800 (0:01:57 elapsed)
Event 29900 (0:01:57 elapsed)
Event 30000 (0:01:57 elapsed)
Event 30100 (0:01:58 elapsed)
Event 30200 (0:01:58 elapsed)
Event 30300 (0:01:59 elapsed)
Event 30400 (0:01:59 elapsed)
Event 30500 (0:01:59 elapsed)
Event 30600 (0:02:00 elapsed)
Event 30700 (0:02:00 elapsed)
Event 30800 (0:02:01 elapsed)
Event 30900 (0:02:01 elapsed)
Event 31000 (0:02:01 elapsed)
Event 31100 (0:02:02 elapsed)
Event 31200 (0:02:02 elapsed)
Event 31300 (0:02:02 elapsed)
Event 31400 (0:02:03 elapsed)
Event 31500 (0:02:03 elapsed)
Event 31600 (0:02:04 elapsed)
Event 31700 (0:02:04 elapsed)
Event 31800 (0:02:04 elapsed)
Event 31900 (0:02:05 elapsed)
Event 32000 (0:02:05 elapsed)
Event 32100 (0:02:06 elapsed)
Event 32200 (0:02:06 elapsed)
Event 32300 (0:02:06 elapsed)
Event 32400 (0:02:07 elapsed)
Event 32500 (0:02:07 elapsed)
Event 32600 (0:02:08 elapsed)
Event 32700 (0:02:08 elapsed)
Event 32800 (0:02:09 elapsed)
Event 32900 (0:02:09 elapsed)
Event 33000 (0:02:09 elapsed)
Event 33100 (0:02:10 elapsed)
Event 33200 (0:02:10 elapsed)
Event 33300 (0:02:11 elapsed)
Event 33400 (0:02:11 elapsed)
Event 33500 (0:02:11 elapsed)
Event 33600 (0:02:12 elapsed)
Event 33700 (0:02:12 elapsed)
Event 33800 (0:02:13 elapsed)
Event 33900 (0:02:13 elapsed)
Event 34000 (0:02:13 elapsed)
Event 34100 (0:02:14 elapsed)
Event 34200 (0:02:14 elapsed)
Event 34300 (0:02:14 elapsed)
Event 34400 (0:02:15 elapsed)
Event 34500 (0:02:15 elapsed)
Event 34600 (0:02:16 elapsed)
Event 34700 (0:02:16 elapsed)
Event 34800 (0:02:16 elapsed)
Event 34900 (0:02:17 elapsed)
Event 35000 (0:02:17 elapsed)
Event 35100 (0:02:18 elapsed)
Event 35200 (0:02:18 elapsed)
Event 35300 (0:02:18 elapsed)
Event 35400 (0:02:19 elapsed)
Event 35500 (0:02:19 elapsed)
Event 35600 (0:02:19 elapsed)
Event 35700 (0:02:20 elapsed)
Event 35800 (0:02:20 elapsed)
Event 35900 (0:02:21 elapsed)
Event 36000 (0:02:21 elapsed)
Event 36100 (0:02:21 elapsed)
Event 36200 (0:02:22 elapsed)
Event 36300 (0:02:22 elapsed)
Event 36400 (0:02:23 elapsed)
Event 36500 (0:02:23 elapsed)
Event 36600 (0:02:23 elapsed)
Event 36700 (0:02:24 elapsed)
Event 36800 (0:02:24 elapsed)
Event 36900 (0:02:24 elapsed)
Event 37000 (0:02:25 elapsed)
Event 37100 (0:02:25 elapsed)
Event 37200 (0:02:26 elapsed)
Event 37300 (0:02:26 elapsed)
Event 37400 (0:02:26 elapsed)
Event 37500 (0:02:27 elapsed)
Event 37600 (0:02:27 elapsed)
Event 37700 (0:02:28 elapsed)
Event 37800 (0:02:28 elapsed)
Event 37900 (0:02:28 elapsed)
Event 38000 (0:02:29 elapsed)
Event 38100 (0:02:29 elapsed)
Event 38200 (0:02:29 elapsed)
Event 38300 (0:02:30 elapsed)
Event 38400 (0:02:30 elapsed)
Event 38500 (0:02:31 elapsed)
Event 38600 (0:02:31 elapsed)
Event 38700 (0:02:31 elapsed)
Event 38800 (0:02:32 elapsed)
Event 38900 (0:02:32 elapsed)
Event 39000 (0:02:33 elapsed)
Event 39100 (0:02:33 elapsed)
Event 39200 (0:02:33 elapsed)
Event 39300 (0:02:34 elapsed)
Event 39400 (0:02:34 elapsed)
Event 39500 (0:02:35 elapsed)
Event 39600 (0:02:35 elapsed)
Event 39700 (0:02:35 elapsed)
Event 39800 (0:02:36 elapsed)
Event 39900 (0:02:36 elapsed)
Event 40000 (0:02:37 elapsed)
Event 40100 (0:02:37 elapsed)
Event 40200 (0:02:37 elapsed)
Event 40300 (0:02:38 elapsed)
Event 40400 (0:02:38 elapsed)
Event 40500 (0:02:39 elapsed)
Event 40600 (0:02:39 elapsed)
Event 40700 (0:02:39 elapsed)
Event 40800 (0:02:40 elapsed)
Event 40900 (0:02:40 elapsed)
Event 41000 (0:02:40 elapsed)
Event 41100 (0:02:41 elapsed)
Event 41200 (0:02:41 elapsed)
Event 41300 (0:02:42 elapsed)
Event 41400 (0:02:42 elapsed)
Event 41500 (0:02:42 elapsed)
Event 41600 (0:02:43 elapsed)
Event 41700 (0:02:43 elapsed)
Event 41800 (0:02:43 elapsed)
Event 41900 (0:02:44 elapsed)
Event 42000 (0:02:44 elapsed)
Event 42100 (0:02:45 elapsed)
Event 42200 (0:02:45 elapsed)
Event 42300 (0:02:45 elapsed)
Event 42400 (0:02:46 elapsed)
Event 42500 (0:02:46 elapsed)
Event 42600 (0:02:47 elapsed)
Event 42700 (0:02:47 elapsed)
Event 42800 (0:02:47 elapsed)
Event 42900 (0:02:48 elapsed)
Event 43000 (0:02:48 elapsed)
Event 43100 (0:02:49 elapsed)
Event 43200 (0:02:49 elapsed)
Event 43300 (0:02:49 elapsed)
Event 43400 (0:02:50 elapsed)
Event 43500 (0:02:50 elapsed)
Event 43600 (0:02:51 elapsed)
Event 43700 (0:02:51 elapsed)
Event 43800 (0:02:51 elapsed)
Event 43900 (0:02:52 elapsed)
Event 44000 (0:02:52 elapsed)
Event 44100 (0:02:52 elapsed)
Event 44200 (0:02:53 elapsed)
Event 44300 (0:02:53 elapsed)
Event 44400 (0:02:54 elapsed)
Event 44500 (0:02:54 elapsed)
Event 44600 (0:02:54 elapsed)
Event 44700 (0:02:55 elapsed)
Event 44800 (0:02:55 elapsed)
Event 44900 (0:02:56 elapsed)
Event 45000 (0:02:56 elapsed)
Event 45100 (0:02:56 elapsed)
Event 45200 (0:02:57 elapsed)
Event 45300 (0:02:57 elapsed)
Event 45400 (0:02:57 elapsed)
Event 45500 (0:02:58 elapsed)
Event 45600 (0:02:58 elapsed)
Event 45700 (0:02:59 elapsed)
Event 45800 (0:02:59 elapsed)
Event 45900 (0:02:59 elapsed)
Event 46000 (0:03:00 elapsed)
Event 46100 (0:03:00 elapsed)
Event 46200 (0:03:00 elapsed)
Event 46300 (0:03:01 elapsed)
Event 46400 (0:03:01 elapsed)
Event 46500 (0:03:02 elapsed)
Event 46600 (0:03:02 elapsed)
Event 46700 (0:03:02 elapsed)
Event 46800 (0:03:03 elapsed)
Event 46900 (0:03:03 elapsed)
Event 47000 (0:03:04 elapsed)
Event 47100 (0:03:04 elapsed)
Event 47200 (0:03:04 elapsed)
Event 47300 (0:03:05 elapsed)
Event 47400 (0:03:05 elapsed)
Event 47500 (0:03:05 elapsed)
Event 47600 (0:03:06 elapsed)
Event 47700 (0:03:06 elapsed)
Event 47800 (0:03:07 elapsed)
Event 47900 (0:03:07 elapsed)
Event 48000 (0:03:07 elapsed)
Event 48100 (0:03:08 elapsed)
Event 48200 (0:03:08 elapsed)
Event 48300 (0:03:09 elapsed)
Event 48400 (0:03:09 elapsed)
Event 48500 (0:03:09 elapsed)
Event 48600 (0:03:10 elapsed)
Event 48700 (0:03:10 elapsed)
Event 48800 (0:03:11 elapsed)
Event 48900 (0:03:11 elapsed)
Event 49000 (0:03:11 elapsed)
Event 49100 (0:03:12 elapsed)
Event 49200 (0:03:12 elapsed)
Event 49300 (0:03:12 elapsed)
Event 49400 (0:03:13 elapsed)
Event 49500 (0:03:13 elapsed)
Event 49600 (0:03:14 elapsed)
Event 49700 (0:03:14 elapsed)
Event 49800 (0:03:14 elapsed)
Event 49900 (0:03:15 elapsed)
Event 50000 (0:03:15 elapsed)
Event 50100 (0:03:15 elapsed)
Event 50200 (0:03:16 elapsed)
Event 50300 (0:03:16 elapsed)
Event 50400 (0:03:17 elapsed)
Event 50500 (0:03:17 elapsed)
Event 50600 (0:03:17 elapsed)
Event 50700 (0:03:18 elapsed)
Event 50800 (0:03:18 elapsed)
Event 50900 (0:03:18 elapsed)
Event 51000 (0:03:19 elapsed)
Event 51100 (0:03:19 elapsed)
Event 51200 (0:03:20 elapsed)
Event 51300 (0:03:20 elapsed)
Event 51400 (0:03:20 elapsed)
Event 51500 (0:03:21 elapsed)
Event 51600 (0:03:21 elapsed)
Event 51700 (0:03:21 elapsed)
Event 51800 (0:03:22 elapsed)
Event 51900 (0:03:22 elapsed)
Event 52000 (0:03:23 elapsed)
Event 52100 (0:03:23 elapsed)
Event 52200 (0:03:23 elapsed)
Event 52300 (0:03:24 elapsed)
Event 52400 (0:03:24 elapsed)
Event 52500 (0:03:25 elapsed)
Event 52600 (0:03:25 elapsed)
Event 52700 (0:03:25 elapsed)
Event 52800 (0:03:26 elapsed)
Event 52900 (0:03:26 elapsed)
Event 53000 (0:03:26 elapsed)
Event 53100 (0:03:27 elapsed)
Event 53200 (0:03:27 elapsed)
Event 53300 (0:03:28 elapsed)
Event 53400 (0:03:28 elapsed)
Event 53500 (0:03:28 elapsed)
Event 53600 (0:03:29 elapsed)
Event 53700 (0:03:29 elapsed)
Event 53800 (0:03:30 elapsed)
Event 53900 (0:03:30 elapsed)
Event 54000 (0:03:30 elapsed)
Event 54100 (0:03:31 elapsed)
Event 54200 (0:03:31 elapsed)
Event 54300 (0:03:31 elapsed)
Event 54400 (0:03:32 elapsed)
Event 54500 (0:03:32 elapsed)
Event 54600 (0:03:33 elapsed)
Event 54700 (0:03:33 elapsed)
Event 54800 (0:03:33 elapsed)
Event 54900 (0:03:34 elapsed)
Event 55000 (0:03:34 elapsed)
Event 55100 (0:03:35 elapsed)
Event 55200 (0:03:35 elapsed)
Event 55300 (0:03:35 elapsed)
Event 55400 (0:03:36 elapsed)
Event 55500 (0:03:36 elapsed)
Event 55600 (0:03:37 elapsed)
Event 55700 (0:03:37 elapsed)
Event 55800 (0:03:37 elapsed)
Event 55900 (0:03:38 elapsed)
Event 56000 (0:03:38 elapsed)
Event 56100 (0:03:39 elapsed)
Event 56200 (0:03:39 elapsed)
Event 56300 (0:03:39 elapsed)
Event 56400 (0:03:40 elapsed)
Event 56500 (0:03:40 elapsed)
Event 56600 (0:03:41 elapsed)
Event 56700 (0:03:41 elapsed)
Event 56800 (0:03:41 elapsed)
Event 56900 (0:03:42 elapsed)
Event 57000 (0:03:42 elapsed)
Event 57100 (0:03:43 elapsed)
Event 57200 (0:03:43 elapsed)
Event 57300 (0:03:43 elapsed)
Event 57400 (0:03:44 elapsed)
Event 57500 (0:03:44 elapsed)
Event 57600 (0:03:45 elapsed)
Event 57700 (0:03:45 elapsed)
Event 57800 (0:03:45 elapsed)
Event 57900 (0:03:46 elapsed)
Event 58000 (0:03:46 elapsed)
Event 58100 (0:03:47 elapsed)
Event 58200 (0:03:47 elapsed)
Event 58300 (0:03:47 elapsed)
Event 58400 (0:03:48 elapsed)
Event 58500 (0:03:48 elapsed)
Event 58600 (0:03:48 elapsed)
Event 58700 (0:03:49 elapsed)
Event 58800 (0:03:49 elapsed)
Event 58900 (0:03:50 elapsed)
Event 59000 (0:03:50 elapsed)
Event 59100 (0:03:50 elapsed)
Event 59200 (0:03:51 elapsed)
Event 59300 (0:03:51 elapsed)
Event 59400 (0:03:52 elapsed)
Event 59500 (0:03:52 elapsed)
Event 59600 (0:03:52 elapsed)
Event 59700 (0:03:53 elapsed)
Event 59800 (0:03:53 elapsed)
Event 59900 (0:03:53 elapsed)
Event 60000 (0:03:54 elapsed)
Event 60100 (0:03:54 elapsed)
Event 60200 (0:03:55 elapsed)
Event 60300 (0:03:55 elapsed)
Event 60400 (0:03:55 elapsed)
Event 60500 (0:03:56 elapsed)
Event 60600 (0:03:56 elapsed)
Event 60700 (0:03:57 elapsed)
Event 60800 (0:03:57 elapsed)
Event 60900 (0:03:57 elapsed)
Event 61000 (0:03:58 elapsed)
Event 61100 (0:03:58 elapsed)
Event 61200 (0:03:59 elapsed)
Event 61300 (0:03:59 elapsed)
Event 61400 (0:03:59 elapsed)
Event 61500 (0:04:00 elapsed)
Event 61600 (0:04:00 elapsed)
Event 61700 (0:04:01 elapsed)
Event 61800 (0:04:01 elapsed)
Event 61900 (0:04:01 elapsed)
Event 62000 (0:04:02 elapsed)
Event 62100 (0:04:02 elapsed)
Event 62200 (0:04:02 elapsed)
Event 62300 (0:04:03 elapsed)
Event 62400 (0:04:03 elapsed)
Event 62500 (0:04:04 elapsed)
Event 62600 (0:04:04 elapsed)
Event 62700 (0:04:04 elapsed)
Event 62800 (0:04:05 elapsed)
Event 62900 (0:04:05 elapsed)
Event 63000 (0:04:06 elapsed)
Event 63100 (0:04:06 elapsed)
Event 63200 (0:04:06 elapsed)
Event 63300 (0:04:07 elapsed)
Event 63400 (0:04:07 elapsed)
Event 63500 (0:04:08 elapsed)
Event 63600 (0:04:08 elapsed)
Event 63700 (0:04:09 elapsed)
Event 63800 (0:04:09 elapsed)
Event 63900 (0:04:09 elapsed)
Event 64000 (0:04:10 elapsed)
Event 64100 (0:04:10 elapsed)
Event 64200 (0:04:10 elapsed)
Event 64300 (0:04:11 elapsed)
Event 64400 (0:04:11 elapsed)
Event 64500 (0:04:12 elapsed)
Event 64600 (0:04:12 elapsed)
Event 64700 (0:04:12 elapsed)
Event 64800 (0:04:13 elapsed)
Event 64900 (0:04:13 elapsed)
Event 65000 (0:04:14 elapsed)
Event 65100 (0:04:14 elapsed)
Event 65200 (0:04:14 elapsed)
Event 65300 (0:04:15 elapsed)
Event 65400 (0:04:15 elapsed)
Event 65500 (0:04:16 elapsed)
Event 65600 (0:04:16 elapsed)
Event 65700 (0:04:16 elapsed)
Event 65800 (0:04:17 elapsed)
Event 65900 (0:04:17 elapsed)
Event 66000 (0:04:18 elapsed)
Event 66100 (0:04:18 elapsed)
Event 66200 (0:04:18 elapsed)
Event 66300 (0:04:19 elapsed)
Event 66400 (0:04:19 elapsed)
Event 66500 (0:04:20 elapsed)
Event 66600 (0:04:20 elapsed)
Event 66700 (0:04:20 elapsed)
Event 66800 (0:04:21 elapsed)
Event 66900 (0:04:21 elapsed)
Event 67000 (0:04:22 elapsed)
Event 67100 (0:04:22 elapsed)
Event 67200 (0:04:22 elapsed)
Event 67300 (0:04:23 elapsed)
Event 67400 (0:04:23 elapsed)
Event 67500 (0:04:24 elapsed)
Event 67600 (0:04:24 elapsed)
Event 67700 (0:04:24 elapsed)
Event 67800 (0:04:25 elapsed)
Event 67900 (0:04:25 elapsed)
Event 68000 (0:04:26 elapsed)
Event 68100 (0:04:26 elapsed)
Event 68200 (0:04:26 elapsed)
Event 68300 (0:04:27 elapsed)
Event 68400 (0:04:27 elapsed)
Event 68500 (0:04:28 elapsed)
Event 68600 (0:04:28 elapsed)
Event 68700 (0:04:28 elapsed)
Event 68800 (0:04:29 elapsed)
Event 68900 (0:04:29 elapsed)
Event 69000 (0:04:30 elapsed)
Event 69100 (0:04:30 elapsed)
Event 69200 (0:04:30 elapsed)
Event 69300 (0:04:31 elapsed)
Event 69400 (0:04:31 elapsed)
Event 69500 (0:04:31 elapsed)
Event 69600 (0:04:32 elapsed)
Event 69700 (0:04:32 elapsed)
Event 69800 (0:04:33 elapsed)
Event 69900 (0:04:33 elapsed)
Event 70000 (0:04:34 elapsed)
Event 70100 (0:04:34 elapsed)
Event 70200 (0:04:34 elapsed)
Event 70300 (0:04:35 elapsed)
Event 70400 (0:04:35 elapsed)
Event 70500 (0:04:35 elapsed)
Event 70600 (0:04:36 elapsed)
Event 70700 (0:04:36 elapsed)
Event 70800 (0:04:37 elapsed)
Event 70900 (0:04:37 elapsed)
Event 71000 (0:04:37 elapsed)
Event 71100 (0:04:38 elapsed)
Event 71200 (0:04:38 elapsed)
Event 71300 (0:04:38 elapsed)
Event 71400 (0:04:39 elapsed)
Event 71500 (0:04:39 elapsed)
Event 71600 (0:04:40 elapsed)
Event 71700 (0:04:40 elapsed)
Event 71800 (0:04:40 elapsed)
Event 71900 (0:04:41 elapsed)
Event 72000 (0:04:41 elapsed)
Event 72100 (0:04:42 elapsed)
Event 72200 (0:04:42 elapsed)
Event 72300 (0:04:42 elapsed)
Event 72400 (0:04:43 elapsed)
Event 72500 (0:04:43 elapsed)
Event 72600 (0:04:44 elapsed)
Event 72700 (0:04:44 elapsed)
Event 72800 (0:04:44 elapsed)
Event 72900 (0:04:45 elapsed)
Event 73000 (0:04:45 elapsed)
